pointID,FRP,datetime,TREATMENT_ID,AQ_ID,burn,pile_burn,broadcast_burn,ACTIVITY_START,ACTIVITY_END,day_from_st,n_days,day_decimal
216996,1.59,2020-02-22T20:54:00Z,724,73962,TRUE,TRUE,FALSE,2020-02-20T00:00:00Z,2020-02-28T00:00:00Z,3,8,0.375
2283,2.7,2020-03-16T21:18:00Z,724,80101,TRUE,TRUE,FALSE,2020-03-02T00:00:00Z,2020-03-30T00:00:00Z,15,28,0.535714286
27,5.2,2020-01-02T21:00:00Z,9709,64978,TRUE,TRUE,FALSE,2020-01-02T00:00:00Z,2020-01-09T00:00:00Z,1,7,0.142857143
60,3.2,2020-01-03T20:42:00Z,9709,64978,TRUE,TRUE,FALSE,2020-01-02T00:00:00Z,2020-01-09T00:00:00Z,2,7,0.285714286
215539,3.04,2020-01-02T20:12:00Z,9709,64978,TRUE,TRUE,FALSE,2020-01-02T00:00:00Z,2020-01-09T00:00:00Z,1,7,0.142857143
215632,4.83,2020-01-06T20:36:00Z,9709,64978,TRUE,TRUE,FALSE,2020-01-02T00:00:00Z,2020-01-09T00:00:00Z,5,7,0.714285714
215980,2.65,2020-01-15T21:06:00Z,9709,64979,TRUE,TRUE,FALSE,2020-01-10T00:00:00Z,2020-01-17T00:00:00Z,6,7,0.857142857
216024,2.88,2020-01-22T20:36:00Z,9709,64980,TRUE,TRUE,FALSE,2020-01-18T00:00:00Z,2020-01-23T00:00:00Z,5,5,1
1312,4.4,2020-02-18T21:24:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
1313,4.4,2020-02-18T21:24:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
1314,4.1,2020-02-18T21:24:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
1315,14.6,2020-02-18T21:24:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
1345,1.8,2020-02-19T21:00:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,19,20,0.95
1346,3.2,2020-02-19T21:00:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,19,20,0.95
216814,4.86,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
216815,4.86,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
216817,7.4,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
216818,7.4,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
216819,9.22,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
216820,29.34,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
216822,9.22,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
216823,7.45,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
216824,9.55,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
216825,9.55,2020-02-18T20:30:00Z,9709,74270,TRUE,TRUE,FALSE,2020-02-01T00:00:00Z,2020-02-21T00:00:00Z,18,20,0.9
