"YEAR_","STATE","AGENCY","UNIT_ID","TREATMENT_","TREATMENT1","START_DATE","END_DATE","TREATED_AC","GIS_ACRES","RX_CONSUM","PRE_CON_CL","POST_CON_C","TREATMENT_TYPE","Shape_Leng","Shape_Area","treatment_type","Id","area_m2"
"2020","CA","CDF","TCU","9655","2020-Winton Broadcast Burn",2020-02-01,2020-12-31,123.08,6311.96,0,0,0,1,50593.4238782,25543584.1364,"Broadcast Burn",0,23350414.0918874
"2020","CA","PVT","LNU","10644","Lake Assist",2020-02-21,2020-04-16,200,4003.44,0,0,0,1,25184.4981091,16201344.4416,"Broadcast Burn",0,14570273.3100363
"2020","CA","CDF","RRU","8359","Lake Matthews FMU Broadcast Burn",2020-05-21,2020-05-21,81,929.511,0,0,0,1,10303.4424012,3761597.19913,"Broadcast Burn",0,3432333.84435009
"2020","CA","OTH","SLU","10956","2020 C234 CAMP ROBERTS",2020-05-11,2020-05-15,450,1208.19,0,0,0,1,14891.0505489,4889391.54114,"Broadcast Burn",0,3079165.16966336
"2020","CA","FWS","SKU","9579","Lower Klamath RX",2020-11-03,2020-11-03,235,2452.79,0,0,0,1,17711.3067415,9926099.00887,"Broadcast Burn",0,2366053.59342175
"2020","CA","CDF","TCU","10843","2020-New Hogan VMP",2020-04-01,2020-04-29,35.81,537.723,0,0,0,1,10417.0940095,2176086.91465,"Broadcast Burn",0,1614601.45674535
"2020","CA","OTH","SLU","11004","Range Improvement Burns",2020-03-04,2020-03-04,6,544.501,0,0,0,1,7689.4518141,2203515.81992,"Broadcast Burn",0,1371982.21688318
"2020","CA","CDF","SLU","11004","Range Improvement Burns",2020-06-30,2020-06-30,138,544.501,0,0,0,1,7689.4518141,2203515.81992,"Broadcast Burn",0,1371982.21688318
"2020","CA","CDF","SLU","11232","Gilardi Burn 2020",2020-08-11,2020-11-24,37,502.927,0,0,0,1,5783.98524707,2035274.51216,"Broadcast Burn",0,1371254.92783065
"2020","CA","NPS","KNP","6323268","Cedar Central Omnibus (Zumwalt, Ho",2020-05-24,2020-05-29,245,244.374,2,1,1,1,10044.1709068,988946.488497,"Broadcast Burn",0,988946.488497145
"2020","CA","NPS","KNP","6323267","Sherman 2",NA,NA,244,244.369,0,0,0,1,4792.0576206,988927.828689,"Broadcast Burn",0,988927.828689125
"2020","CA","CDF","TGU","10558","PCSC Unit 1 RX Burn",2020-02-10,2020-02-10,37,248.612,0,0,0,1,4809.62796002,1006097.53718,"Broadcast Burn",0,841789.686844546
"2020","CA","CDF","RRU","10886","Santa Rosa Rx Burns",2020-05-12,2020-06-30,19,214.497,0,0,0,1,7699.51083291,868039.331171,"Broadcast Burn",0,818949.833386666
"2020","CA","CDF","TGU","10987","TURRI VMP Broadcast Burn Unit 2",2020-02-24,2020-02-24,5,183.553,0,0,0,1,4640.02086523,742811.21869,"Broadcast Burn",0,722246.252758997
"2020","CA","NPS","RWP","3034012","Copper Creek Rx",NA,NA,148,152.267,0,0,0,1,3703.1538661,616202.088004,"Broadcast Burn",0,616183.482166523
"2020","CA","NPS","RWP","3034012","Lower Lyons Rx",NA,NA,4,142.651,0,0,0,1,4364.11733712,577286.374234,"Broadcast Burn",0,577179.403366248
"2020","CA","NPS","RWP","3034012","Williams Ridge Rx",NA,NA,118,124.612,0,0,0,1,4139.19182403,504288.646955,"Broadcast Burn",0,504288.646955491
