viirs_date,AQ_ID,ACTIVITY_START,ACTIVITY_END,matches
2020-11-19,59585,2020-01-07,2020-01-07,FALSE
2020-11-19,59585,2020-01-07,2020-01-07,FALSE
2020-11-30,59585,2020-01-07,2020-01-07,FALSE
2020-12-14,59585,2020-01-07,2020-01-07,FALSE
2020-02-27,60497,2020-01-05,2020-01-09,FALSE
2020-02-27,62420,2019-12-31,2020-01-16,FALSE
2020-01-06,62427,2019-12-31,2020-01-16,TRUE
2020-02-06,62427,2019-12-31,2020-01-16,FALSE
2020-03-09,62427,2019-12-31,2020-01-16,FALSE
2020-03-14,62427,2019-12-31,2020-01-16,FALSE
2020-03-19,62427,2019-12-31,2020-01-16,FALSE
2020-03-24,62427,2019-12-31,2020-01-16,FALSE
2020-03-26,62427,2019-12-31,2020-01-16,FALSE
2020-06-19,62427,2019-12-31,2020-01-16,FALSE
2020-06-19,62427,2019-12-31,2020-01-16,FALSE
2020-06-19,62427,2019-12-31,2020-01-16,FALSE
2020-12-06,62427,2019-12-31,2020-01-16,FALSE
2020-03-04,62429,2019-12-31,2020-01-16,FALSE
2020-02-27,63059,2019-12-31,2020-01-23,FALSE
2020-02-27,63060,2020-01-19,2020-01-23,FALSE
2020-02-19,63113,2019-12-31,2020-01-12,FALSE
2020-02-19,63113,2019-12-31,2020-01-12,FALSE
2020-02-19,63113,2019-12-31,2020-01-12,FALSE
2020-02-19,63113,2019-12-31,2020-01-12,FALSE
2020-02-19,63113,2019-12-31,2020-01-12,FALSE
2020-02-19,63113,2019-12-31,2020-01-12,FALSE
2020-02-19,63113,2019-12-31,2020-01-12,FALSE
2020-02-19,63113,2019-12-31,2020-01-12,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63118,2020-01-07,2020-01-16,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-03-05,63119,2020-01-16,2020-01-23,FALSE
2020-02-14,63381,2019-12-31,2020-01-25,FALSE
2020-03-23,63381,2019-12-31,2020-01-25,FALSE
2020-03-23,63381,2019-12-31,2020-01-25,FALSE
2020-04-13,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-08,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-09,63381,2019-12-31,2020-01-25,FALSE
2020-09-10,63381,2019-12-31,2020-01-25,FALSE
2020-09-10,63381,2019-12-31,2020-01-25,FALSE
2020-09-10,63381,2019-12-31,2020-01-25,FALSE
2020-09-10,63381,2019-12-31,2020-01-25,FALSE
2020-01-16,63462,2020-01-12,2020-01-16,TRUE
2020-06-09,64685,2019-12-31,2020-01-29,FALSE
2020-06-09,64685,2019-12-31,2020-01-29,FALSE
